name,type,value,date,color
Alexander Grischuk,RUS,2777,2014-04-27,#D52B1E
Alexander Grischuk,RUS,2792,2014-05-27,#D52B1E
Alexander Grischuk,RUS,2792,2014-06-27,#D52B1E
Alexander Grischuk,RUS,2795,2014-07-27,#D52B1E
Alexander Grischuk,RUS,2795,2014-08-27,#D52B1E
Alexander Grischuk,RUS,2789,2014-09-27,#D52B1E
Alexander Grischuk,RUS,2797,2014-10-27,#D52B1E
Alexander Grischuk,RUS,2795,2014-11-27,#D52B1E
Alexander Grischuk,RUS,2810,2014-12-27,#D52B1E
Alexander Grischuk,RUS,2810,2015-01-27,#D52B1E
Alexander Grischuk,RUS,2810,2015-02-27,#D52B1E
Alexander Grischuk,RUS,2794,2015-03-27,#D52B1E
Alexander Grischuk,RUS,2794,2015-04-27,#D52B1E
Alexander Grischuk,RUS,2780,2015-05-27,#D52B1E
Alexander Grischuk,RUS,2781,2015-06-27,#D52B1E
Alexander Grischuk,RUS,2771,2015-07-27,#D52B1E
